Time	Iteration	Average Reward	StdReward	MaxReward	MinReward	r_comm1	r_rad1	Throughput1	Average Throughput	SINR1	SINR_av	Num Transmits 1	Average Num Transmits	Reward1	StdReward1	MaxReward1	MinReward1	Reward2	StdReward2	MaxReward2	MinReward2	Reward3	StdReward3	MaxReward3	MinReward3	Reward4	StdReward4	MaxReward4	MinReward4	Reward5	StdReward5	MaxReward5	MinReward5	Reward6	StdReward6	MaxReward6	MinReward6	Reward7	StdReward7	MaxReward7	MinReward7	Reward8	StdReward8	MaxReward8	MinReward8	TimestepsThisBatch	TimestepsSoFar
108.93366599082947	10	-3840.2324	432.0301	-3124.585	-4696.372	2433.211142522257	1045.9953245802742	9.721666666666666	8.227812499999999	2292730296.617338	2446338549.9982495	0.11666666666666665	0.09427083333333335	-3842.7532	611.63794	-3294.8958	-4696.372	-3533.7742	276.1906	-3221.4675	-3893.0784	-4001.9573	56.415977	-3926.3972	-4061.9216	-4258.173	352.00024	-3762.8645	-4548.9365	-4149.7866	333.8327	-3811.5493	-4604.1475	-3508.339	328.18753	-3124.585	-3926.2917	-3752.244	266.49496	-3399.3975	-4043.3577	-3674.8333	299.55264	-3262.0183	-3963.615	1200	13200
118.21776270866394	11	-3858.7864	405.3222	-2884.7673	-4666.2085	2542.817785847189	987.1755756923149	10.65	8.1409375	1624892625.339433	2318414474.843201	0.11166666666666668	0.09375	-3380.2234	416.55194	-2884.7673	-3903.9329	-4073.2852	428.24847	-3590.2366	-4631.1846	-3781.3445	228.37009	-3561.9968	-4096.309	-3875.13	242.7133	-3667.6472	-4215.6787	-4050.618	110.90332	-3906.9863	-4176.9937	-4189.8716	349.60522	-3836.9724	-4666.2085	-3941.8652	370.14563	-3423.3147	-4263.1143	-3577.955	247.58954	-3389.6672	-3927.7583	1200	14400
128.0058434009552	12	-3842.8738	357.49515	-3178.0718	-4484.584	2324.0854350369136	982.4230136481215	9.716666666666667	7.879270833333333	2032886118.0340025	2375859988.9363666	0.13166666666666668	0.09447916666666667	-3570.4426	247.19624	-3318.0483	-3906.1196	-3858.8926	160.5721	-3707.8381	-4081.26	-3970.4473	383.79407	-3544.2139	-4474.5806	-3711.153	190.96584	-3441.151	-3851.2532	-4163.31	299.8894	-3762.907	-4484.584	-3844.1306	472.3157	-3204.0837	-4329.6177	-3829.073	178.84857	-3576.7432	-3970.3196	-3795.542	439.9456	-3178.0718	-4170.4287	1200	15600
137.8524947166443	13	-3973.2195	325.74808	-3295.1272	-4575.921	1856.172468981069	958.4130383393525	8.07	7.47125	1095674443.3971617	2073521530.5423346	0.10583333333333333	0.09010416666666667	-3894.2942	423.72125	-3295.1272	-4201.5493	-4234.8755	322.88547	-3784.795	-4526.6465	-3915.3796	50.459545	-3866.8687	-3984.959	-4038.6895	390.09375	-3661.4622	-4575.921	-3959.8694	130.81857	-3820.9539	-4135.1436	-4203.4126	67.73128	-4149.433	-4298.929	-3864.1465	252.82959	-3656.8835	-4220.0986	-3675.0881	297.4649	-3350.578	-4069.1792	1200	16800
147.24337029457092	14	-3843.8372	475.6501	-2539.6467	-4533.99	2712.4178911969925	996.4901334286983	11.38	8.031354166666667	1762559236.2107134	2265380795.877745	0.08833333333333333	0.09770833333333334	-3266.5154	592.8656	-2539.6467	-3991.8625	-3923.469	44.308937	-3867.156	-3975.428	-3888.9329	589.8501	-3075.7815	-4456.6714	-3667.37	254.56245	-3392.8425	-4006.3242	-4191.8896	265.20605	-3887.6975	-4533.99	-4058.6477	216.52562	-3893.8691	-4364.5566	-4086.923	298.63367	-3696.2026	-4421.122	-3666.9502	454.8476	-3094.3489	-4207.0723	1200	18000
156.78447270393372	15	-3946.799	431.98328	-2505.0908	-4717.3223	2620.234882907021	1003.5502618415047	11.016666666666666	7.804895833333333	1592752709.6882474	2214871011.709226	0.12750000000000003	0.0903125	-3401.0632	700.9709	-2505.0908	-4216.426	-4016.2893	78.262245	-3913.1416	-4102.6177	-4311.5073	332.48364	-3902.9211	-4717.3223	-3993.372	391.74905	-3470.1028	-4412.623	-4002.6953	173.15616	-3768.949	-4182.7866	-4164.6543	130.84059	-4025.173	-4339.693	-3682.2715	296.1883	-3270.0671	-3952.8481	-4002.541	187.19928	-3738.261	-4148.19	1200	19200
166.77463936805725	16	-3999.714	375.8218	-2911.3064	-4648.3477	2178.2475096563403	972.5367568557322	9.443333333333333	7.5971874999999995	1441305645.8374321	2290275331.323458	0.125	0.09781250000000001	-3656.9592	527.3246	-2911.3064	-4040.1853	-3934.136	240.80186	-3594.9446	-4130.002	-4264.585	294.2501	-3858.1594	-4545.182	-4105.9766	386.36176	-3777.4473	-4648.3477	-4075.9114	363.18744	-3629.578	-4519.186	-4185.4043	151.73213	-3971.311	-4304.9834	-4063.6516	202.54053	-3786.543	-4264.992	-3711.0898	176.52788	-3546.057	-3955.829	1200	20400
176.2319312095642	17	-3884.382	422.69138	-2855.804	-5004.784	2564.91720026807	1006.3128681037518	10.5725	8.128958333333333	1635382380.5516121	2298388794.7398458	0.13249999999999998	0.08802083333333333	-3472.9485	436.40106	-2855.804	-3785.7998	-3874.557	121.45101	-3706.0537	-3987.6277	-4286.916	535.64026	-3718.543	-5004.784	-3754.7217	70.76533	-3660.193	-3830.4438	-4041.9668	108.16121	-3889.6118	-4129.9443	-4029.9873	487.6883	-3341.332	-4407.1055	-4002.4182	198.16154	-3727.7466	-4187.906	-3611.543	400.99362	-3048.3823	-3950.8403	1200	21600
185.9472107887268	18	-3781.3728	481.00952	-2825.076	-4692.4478	2852.0833864653214	978.7641743616672	11.554166666666665	8.273020833333334	3954183327.802742	3306238375.3520317	0.1225	0.09437499999999999	-3020.493	242.02812	-2825.076	-3361.5645	-3383.448	266.91122	-3050.491	-3703.9302	-3885.512	156.7757	-3715.2124	-4093.6108	-3975.6907	367.58704	-3474.0032	-4344.486	-4482.6533	172.58249	-4269.743	-4692.4478	-4063.3096	206.1028	-3790.4387	-4288.4785	-3787.08	315.3818	-3344.0352	-4053.1228	-3652.7947	126.410446	-3497.7522	-3807.3923	1200	22800
195.81668877601624	19	-3953.8113	337.5404	-3056.2017	-4706.673	2132.9329248590084	1014.9852812852661	9.146666666666667	7.791354166666667	1881067009.4147272	2180597480.242319	0.10999999999999999	0.09458333333333334	-3956.9639	297.70203	-3575.9421	-4302.5767	-3361.9543	216.58908	-3056.2017	-3530.7239	-4094.4949	20.960043	-4064.855	-4109.636	-3937.414	260.41943	-3671.617	-4291.087	-4372.647	237.47661	-4175.4224	-4706.673	-4005.6934	159.30373	-3796.1904	-4182.194	-3979.0784	175.40674	-3741.6836	-4160.098	-3922.246	212.17503	-3627.231	-4117.2075	1200	24000
205.82196402549744	20	-3866.6824	360.84644	-3061.1724	-4523.62	2568.6129807953907	1016.9786987579747	10.126666666666667	7.852187499999999	1533731231.1224778	2267077962.1822295	0.12583333333333332	0.09447916666666667	-3533.249	357.7742	-3061.1724	-3926.962	-3956.7148	20.304178	-3931.063	-3980.7156	-3819.6895	349.74393	-3473.0784	-4298.5713	-3759.5488	409.7823	-3397.739	-4332.503	-4121.186	141.9753	-4007.5327	-4321.3574	-4042.4785	553.01526	-3267.9453	-4523.62	-3827.112	50.30976	-3764.41	-3887.5825	-3873.4785	253.48029	-3663.208	-4230.046	1200	25200
215.11859273910522	21	-3873.1511	357.10034	-3324.3408	-4715.9946	2044.010400030492	999.3128001175146	8.906666666666666	7.918645833333334	1235894877.3566303	2239777345.1992426	0.16583333333333336	0.10416666666666667	-3951.8547	230.51613	-3779.395	-4277.667	-3833.1438	432.73914	-3522.88	-4445.1094	-3689.7422	120.99388	-3547.0774	-3842.8936	-3861.8855	179.74649	-3607.9348	-3998.6084	-3953.571	364.12497	-3510.1804	-4402.057	-4099.7036	197.00447	-3948.4912	-4377.9604	-4047.1785	527.7976	-3425.77	-4715.9946	-3548.1277	218.10182	-3324.3408	-3843.8477	1200	26400
224.84208130836487	22	-3791.5898	522.5795	-2441.7659	-4663.0723	2998.987375895052	983.9648529179631	12.698333333333332	8.358541666666667	1795463125.4429605	2302566887.7910304	0.16749999999999998	0.10302083333333334	-2904.7979	343.11368	-2441.7659	-3261.9783	-4052.027	249.74158	-3737.7986	-4348.7896	-3614.9805	378.62836	-3285.8306	-4145.321	-3511.8604	102.10415	-3367.8472	-3592.9795	-4370.0723	229.00922	-4104.069	-4663.0723	-4028.4988	471.23654	-3464.917	-4618.3115	-3904.0652	346.47354	-3530.6196	-4365.5054	-3946.4167	255.38776	-3669.2988	-4285.5713	1200	27600
234.3277542591095	23	-3878.5466	367.51776	-2864.8428	-4558.189	2385.5575440554735	994.1756436785521	10.225	8.028333333333332	1572344879.7478056	2227621160.1829867	0.13	0.0971875	-3579.4841	528.65125	-2864.8428	-4126.9995	-4420.816	116.42527	-4273.5244	-4558.189	-3664.904	126.26173	-3569.2861	-3843.3113	-3858.4631	405.96588	-3413.3555	-4395.058	-3641.7332	158.12042	-3418.1863	-3758.3281	-3868.3242	251.07898	-3629.2297	-4215.218	-3976.6318	40.89031	-3923.3296	-4022.704	-4018.0159	47.579086	-3981.5293	-4085.2205	1200	28800
243.90651321411133	24	-3857.9795	420.51773	-2808.7976	-4599.7534	2358.0770382249484	947.7506693758938	9.8975	7.783437500000001	1522359400.8148537	2138010638.207023	0.15416666666666667	0.09822916666666666	-3328.4187	239.9282	-3078.3372	-3652.0613	-3850.6777	47.162766	-3784.503	-3890.9883	-3856.1465	270.82413	-3645.3762	-4238.48	-4186.2437	413.71695	-3621.02	-4599.7534	-4038.2434	220.9803	-3788.1758	-4325.598	-3994.5488	352.2427	-3538.8752	-4396.6943	-4026.0066	303.0422	-3731.679	-4442.9487	-3583.551	550.1842	-2808.7976	-4033.152	1200	30000
253.3690686225891	25	-3659.5098	383.27173	-2713.1704	-4514.9116	2766.8201177715932	986.8545034148792	11.059166666666668	8.370937499999998	2027767269.928899	2350840831.0060725	0.165	0.0984375	-3154.2979	409.23196	-2713.1704	-3699.3013	-3572.8916	183.7533	-3367.947	-3813.7336	-4233.0645	303.95657	-3811.0608	-4514.9116	-3750.8591	338.23593	-3294.1125	-4102.286	-3742.737	191.47162	-3472.2705	-3889.286	-3662.202	156.53598	-3487.006	-3866.9966	-3704.0876	228.6354	-3447.6143	-4002.845	-3455.9397	57.41069	-3397.8374	-3534.1038	1200	31200
262.9808235168457	26	-4008.385	335.92755	-3280.4639	-4669.6836	2279.535331277017	996.1020773431642	9.019166666666665	7.493645833333335	1836289461.4948559	2230181802.577539	0.1425	0.09489583333333333	-3697.0623	308.6442	-3332.597	-4087.2988	-3539.8708	211.80771	-3280.4639	-3799.2847	-4321.687	264.29916	-4029.5579	-4669.6836	-4053.673	152.32103	-3838.3704	-4167.324	-4097.798	58.831886	-4033.6562	-4175.7617	-4181.0913	293.06824	-3970.7434	-4595.5366	-4052.9795	238.91939	-3768.9204	-4353.4595	-4122.9185	231.51888	-3795.9355	-4301.0107	1200	32400
272.12038254737854	27	-3952.3333	268.19366	-3395.8362	-4374.1416	2609.3862013452117	1020.0554539161288	11.178333333333333	7.909895833333334	1661039439.6727886	2329962111.3646903	0.09500000000000001	0.09854166666666665	-3510.9373	99.468864	-3395.8362	-3638.5227	-3953.9395	249.72284	-3706.117	-4295.7505	-4055.7957	265.84842	-3686.398	-4301.0933	-4164.9126	145.67885	-3959.2993	-4278.9326	-3849.0762	242.58507	-3630.923	-4187.452	-4139.5894	167.66971	-3992.1704	-4374.1416	-4072.3528	42.481133	-4015.8586	-4118.2993	-3872.0627	72.12271	-3771.07	-3934.9238	1200	33600
281.79137325286865	28	-3680.0754	440.60876	-2570.4133	-4824.795	2418.3379308421027	963.2291225008793	10.600833333333332	8.217708333333334	1482994577.6774762	2257076904.123274	0.09916666666666667	0.09104166666666667	-3361.0276	572.39514	-2570.4133	-3906.8372	-3564.2751	230.16824	-3291.66	-3854.618	-4024.7542	39.38882	-3969.7424	-4059.842	-3553.1062	65.67973	-3460.2268	-3600.443	-3629.5344	220.29926	-3319.1023	-3807.5874	-4227.852	422.2395	-3916.1975	-4824.795	-3657.0176	431.0376	-3062.5288	-4070.9988	-3423.035	366.95682	-2921.966	-3790.5457	1200	34800
291.1486167907715	29	-3835.2302	403.91672	-3154.3557	-4635.781	2525.717018228707	976.4531463022872	10.850833333333334	8.103229166666667	1529719313.8558187	2355485949.639097	0.11916666666666666	0.08447916666666666	-3332.993	238.30492	-3154.3557	-3669.7996	-3741.8271	281.1402	-3360.3774	-4029.6694	-3886.3274	536.6433	-3408.0684	-4635.781	-3964.556	264.91058	-3652.7996	-4300.3574	-3783.2605	102.85351	-3661.9583	-3913.4285	-4112.765	337.4975	-3642.694	-4419.4365	-3703.7024	97.95272	-3607.6438	-3838.1704	-4156.4097	443.43414	-3548.2617	-4593.027	1200	36000
301.1566870212555	30	-3765.3455	429.47372	-2582.1375	-4668.023	2905.99099229547	983.643780640528	12.050833333333335	8.1678125	2195707315.797279	2296864227.07843	0.1475	0.09614583333333333	-2995.8662	305.60196	-2582.1375	-3310.9446	-3804.001	332.3065	-3393.7913	-4207.6943	-3985.961	169.92017	-3745.7048	-4110.2285	-3663.703	306.58182	-3242.247	-3962.5776	-4185.2905	341.57095	-3928.6482	-4668.023	-3940.11	89.535736	-3862.7654	-4065.606	-3636.3308	294.57156	-3238.2874	-3941.7935	-3911.4993	199.84647	-3727.938	-4189.3896	1200	37200
