Time	Iteration	Average Reward	StdReward	MaxReward	MinReward	r_comm1	r_rad1	Throughput1	Average Throughput	SINR1	SINR_av	Num Transmits 1	Average Num Transmits	Reward1	StdReward1	MaxReward1	MinReward1	Reward2	StdReward2	MaxReward2	MinReward2	Reward3	StdReward3	MaxReward3	MinReward3	Reward4	StdReward4	MaxReward4	MinReward4	Reward5	StdReward5	MaxReward5	MinReward5	Reward6	StdReward6	MaxReward6	MinReward6	Reward7	StdReward7	MaxReward7	MinReward7	Reward8	StdReward8	MaxReward8	MinReward8	TimestepsThisBatch	TimestepsSoFar	Loss 1	Policy Gradient Loss 1	KL Divergence 1	Value Loss 1	Entropy Loss 1	Time	Iteration	Average Reward	StdReward	MaxReward	MinReward	r_comm1	r_rad1	Throughput1	Average Throughput	SINR1	SINR_av	Num Transmits 1	Average Num Transmits	Reward1	StdReward1	MaxReward1	MinReward1	Reward2	StdReward2	MaxReward2	MinReward2	Reward3	StdReward3	MaxReward3	MinReward3	Reward4	StdReward4	MaxReward4	MinReward4	Reward5	StdReward5	MaxReward5	MinReward5	Reward6	StdReward6	MaxReward6	MinReward6	Reward7	StdReward7	MaxReward7	MinReward7	Reward8	StdReward8	MaxReward8	MinReward8	TimestepsThisBatch	TimestepsSoFar	Loss 1	Policy Gradient Loss 1	KL Divergence 1	Value Loss 1	Entropy Loss 1
12.942601680755615	0	-4254.802142333984	622.8464638033003	-3092.39794921875	-6057.79443359375	1961.3999999999985	937.5869576097109	9.384999999999986	8.302624999999988	222.87544471123434	239.95218766126783	0.17099999999999999	0.1615625	-5539.2962890625	379.7852111044081	-4932.029296875	-6057.79443359375	-3977.403271484375	451.3123067212348	-3401.787841796875	-4501.59814453125	-3962.44921875	588.3349521368597	-3128.389892578125	-4724.9658203125	-4133.66298828125	330.93923240628186	-3689.146240234375	-4680.0810546875	-4304.3619140625	96.85951658806849	-4191.083984375	-4447.787109375	-4118.13515625	274.66381151663717	-3854.729736328125	-4615.591796875	-4056.596337890625	74.19667500104765	-3971.3955078125	-4166.2626953125	-3946.511962890625	476.5643050489417	-3092.39794921875	-4495.14306640625	2000	2000	184.30814633369445	-0.007193977682618424	0.0006344395224004984	368.6884292602539	2.887556703388691	12.942601680755615	0	-4254.802142333984	622.8464638033003	-3092.39794921875	-6057.79443359375	1961.3999999999985	937.5869576097109	9.384999999999986	8.302624999999988	222.87544471123434	239.95218766126783	0.17099999999999999	0.1615625	-5539.2962890625	379.7852111044081	-4932.029296875	-6057.79443359375	-3977.403271484375	451.3123067212348	-3401.787841796875	-4501.59814453125	-3962.44921875	588.3349521368597	-3128.389892578125	-4724.9658203125	-4133.66298828125	330.93923240628186	-3689.146240234375	-4680.0810546875	-4304.3619140625	96.85951658806849	-4191.083984375	-4447.787109375	-4118.13515625	274.66381151663717	-3854.729736328125	-4615.591796875	-4056.596337890625	74.19667500104765	-3971.3955078125	-4166.2626953125	-3946.511962890625	476.5643050489417	-3092.39794921875	-4495.14306640625	2000	2000	184.30814633369445	-0.007193977682618424	0.0006344395224004984	368.6884292602539	2.887556703388691
28.316817045211792	1	-4415.9707702636715	557.6011512920758	-3399.90283203125	-5936.77978515625	2066.9999999999955	948.6819693091924	9.03099999999998	7.85768749999999	225.4235526760001	218.22843023455258	0.20299999999999999	0.1663125	-5522.4564453125	587.7738558153824	-4378.05029296875	-5936.77978515625	-4438.3123046875	221.08067935562286	-4157.02001953125	-4676.716796875	-4242.1662109375	233.79332423754565	-3843.96240234375	-4560.0830078125	-4241.96708984375	358.6571519981237	-3578.5576171875	-4641.90185546875	-4098.604931640625	129.3910303094894	-3954.510009765625	-4334.9599609375	-4085.44541015625	366.5786595444212	-3399.90283203125	-4490.2626953125	-4502.0677734375	223.0874712077225	-4234.431640625	-4850.78466796875	-4196.74599609375	397.59030678952547	-3489.625732421875	-4586.6259765625	2000	4000	195.18252005577088	0.0024088416481390595	0.0006974199786782265	390.4178702354431	2.8881106466054915	28.316817045211792	1	-4415.9707702636715	557.6011512920758	-3399.90283203125	-5936.77978515625	2066.9999999999955	948.6819693091924	9.03099999999998	7.85768749999999	225.4235526760001	218.22843023455258	0.20299999999999999	0.1663125	-5522.4564453125	587.7738558153824	-4378.05029296875	-5936.77978515625	-4438.3123046875	221.08067935562286	-4157.02001953125	-4676.716796875	-4242.1662109375	233.79332423754565	-3843.96240234375	-4560.0830078125	-4241.96708984375	358.6571519981237	-3578.5576171875	-4641.90185546875	-4098.604931640625	129.3910303094894	-3954.510009765625	-4334.9599609375	-4085.44541015625	366.5786595444212	-3399.90283203125	-4490.2626953125	-4502.0677734375	223.0874712077225	-4234.431640625	-4850.78466796875	-4196.74599609375	397.59030678952547	-3489.625732421875	-4586.6259765625	2000	4000	195.18252005577088	0.0024088416481390595	0.0006974199786782265	390.4178702354431	2.8881106466054915
43.59819793701172	2	-4300.397155761719	558.2841306486602	-3350.4912109375	-6114.71728515625	2296.799999999999	937.3160106879901	10.157999999999989	8.19387499999999	255.03920585187834	227.1549116402592	0.2285	0.17043750000000002	-5201.72880859375	591.633590804529	-4307.77197265625	-6114.71728515625	-3906.4580078125	465.67539758362693	-3405.84521484375	-4726.66796875	-4181.427294921875	163.3337188906044	-4029.088134765625	-4468.908203125	-4297.97421875	300.6436174585312	-3915.0791015625	-4662.01953125	-3948.78037109375	419.31317957592904	-3368.447998046875	-4545.4794921875	-4196.058984375	294.0781096619858	-3816.2568359375	-4562.26025390625	-4570.94853515625	391.2623115330209	-4161.9013671875	-5162.95703125	-4099.801025390625	405.46904665303634	-3350.4912109375	-4482.7236328125	2000	6000	196.4237136363983	-0.0054741710366215555	-0.0003321894910186529	392.9159039497375	2.888267885148525	43.59819793701172	2	-4300.397155761719	558.2841306486602	-3350.4912109375	-6114.71728515625	2296.799999999999	937.3160106879901	10.157999999999989	8.19387499999999	255.03920585187834	227.1549116402592	0.2285	0.17043750000000002	-5201.72880859375	591.633590804529	-4307.77197265625	-6114.71728515625	-3906.4580078125	465.67539758362693	-3405.84521484375	-4726.66796875	-4181.427294921875	163.3337188906044	-4029.088134765625	-4468.908203125	-4297.97421875	300.6436174585312	-3915.0791015625	-4662.01953125	-3948.78037109375	419.31317957592904	-3368.447998046875	-4545.4794921875	-4196.058984375	294.0781096619858	-3816.2568359375	-4562.26025390625	-4570.94853515625	391.2623115330209	-4161.9013671875	-5162.95703125	-4099.801025390625	405.46904665303634	-3350.4912109375	-4482.7236328125	2000	6000	196.4237136363983	-0.0054741710366215555	-0.0003321894910186529	392.9159039497375	2.888267885148525
58.908873319625854	3	-4271.104162597656	590.6042278655657	-3264.786376953125	-5962.7080078125	2152.9999999999955	946.8740294847012	9.433499999999984	8.236374999999986	216.331904719073	235.1813828342384	0.198	0.155625	-5421.9927734375	497.0970727043546	-4620.0283203125	-5962.7080078125	-3951.071337890625	363.42199454423144	-3499.497802734375	-4376.900390625	-3927.755712890625	493.237457136955	-3407.260986328125	-4743.08349609375	-4107.48720703125	216.32162130406067	-3816.920166015625	-4475.02392578125	-4013.905419921875	433.6345152813422	-3264.786376953125	-4508.4501953125	-4387.257763671875	359.04409284802904	-3935.197021484375	-4883.36474609375	-4200.12099609375	169.10138077964544	-3935.017578125	-4389.6806640625	-4159.24208984375	326.92792406144076	-3769.333251953125	-4631.26123046875	2000	8000	186.10652005672455	-0.0030200234265066682	-5.8601959608495235e-05	372.2764847755432	2.88803858011961	58.908873319625854	3	-4271.104162597656	590.6042278655657	-3264.786376953125	-5962.7080078125	2152.9999999999955	946.8740294847012	9.433499999999984	8.236374999999986	216.331904719073	235.1813828342384	0.198	0.155625	-5421.9927734375	497.0970727043546	-4620.0283203125	-5962.7080078125	-3951.071337890625	363.42199454423144	-3499.497802734375	-4376.900390625	-3927.755712890625	493.237457136955	-3407.260986328125	-4743.08349609375	-4107.48720703125	216.32162130406067	-3816.920166015625	-4475.02392578125	-4013.905419921875	433.6345152813422	-3264.786376953125	-4508.4501953125	-4387.257763671875	359.04409284802904	-3935.197021484375	-4883.36474609375	-4200.12099609375	169.10138077964544	-3935.017578125	-4389.6806640625	-4159.24208984375	326.92792406144076	-3769.333251953125	-4631.26123046875	2000	8000	186.10652005672455	-0.0030200234265066682	-5.8601959608495235e-05	372.2764847755432	2.88803858011961
73.98169493675232	4	-4204.996520996094	486.10152716596986	-3431.1953125	-5570.8837890625	2238.799999999996	908.8068694662103	9.969999999999985	8.527437499999987	275.91004264532836	242.58175799521285	0.23099999999999996	0.19668750000000002	-5031.65576171875	393.9348680748731	-4519.67041015625	-5570.8837890625	-3765.5751953125	395.44070818464706	-3431.1953125	-4493.12548828125	-4368.30390625	476.96417717908577	-3536.50439453125	-4801.01513671875	-4220.0734375	296.34740340265216	-3733.8486328125	-4669.4375	-3934.62099609375	201.81682152080867	-3755.551025390625	-4315.37060546875	-4234.968701171875	126.27533462746676	-4071.838623046875	-4403.474609375	-3905.23330078125	157.17864839188456	-3709.2275390625	-4067.138671875	-4179.540869140625	337.9968123176889	-3751.67333984375	-4705.9521484375	2000	10000	174.0191373348236	-0.007322757050860673	0.00016184616833925247	348.1102020740509	2.8874227203428746	73.98169493675232	4	-4204.996520996094	486.10152716596986	-3431.1953125	-5570.8837890625	2238.799999999996	908.8068694662103	9.969999999999985	8.527437499999987	275.91004264532836	242.58175799521285	0.23099999999999996	0.19668750000000002	-5031.65576171875	393.9348680748731	-4519.67041015625	-5570.8837890625	-3765.5751953125	395.44070818464706	-3431.1953125	-4493.12548828125	-4368.30390625	476.96417717908577	-3536.50439453125	-4801.01513671875	-4220.0734375	296.34740340265216	-3733.8486328125	-4669.4375	-3934.62099609375	201.81682152080867	-3755.551025390625	-4315.37060546875	-4234.968701171875	126.27533462746676	-4071.838623046875	-4403.474609375	-3905.23330078125	157.17864839188456	-3709.2275390625	-4067.138671875	-4179.540869140625	337.9968123176889	-3751.67333984375	-4705.9521484375	2000	10000	174.0191373348236	-0.007322757050860673	0.00016184616833925247	348.1102020740509	2.8874227203428746
89.33591961860657	5	-4368.616076660156	491.6016561746124	-3585.201904296875	-6025.875	2151.1999999999957	925.0249485048814	10.335999999999975	8.17456249999999	218.9200108108555	225.87410240475538	0.182	0.16706249999999997	-5249.00009765625	519.4879781400797	-4628.6787109375	-6025.875	-4123.766064453125	327.1476152296395	-3585.201904296875	-4597.38818359375	-4310.481396484375	353.15951992109274	-3798.697998046875	-4750.0234375	-4387.98193359375	223.48522128115823	-4167.9091796875	-4759.75390625	-4434.00361328125	401.28283875449665	-3851.73486328125	-5038.30029296875	-4151.890869140625	108.1751914080625	-4052.84033203125	-4327.4375	-3997.637744140625	178.45053792646888	-3774.696533203125	-4287.6611328125	-4294.16689453125	379.5356789655707	-3697.85205078125	-4861.0126953125	2000	12000	183.66283600330354	-0.006887550675310194	0.0006269458681344986	367.39659547805786	2.886229906231165	89.33591961860657	5	-4368.616076660156	491.6016561746124	-3585.201904296875	-6025.875	2151.1999999999957	925.0249485048814	10.335999999999975	8.17456249999999	218.9200108108555	225.87410240475538	0.182	0.16706249999999997	-5249.00009765625	519.4879781400797	-4628.6787109375	-6025.875	-4123.766064453125	327.1476152296395	-3585.201904296875	-4597.38818359375	-4310.481396484375	353.15951992109274	-3798.697998046875	-4750.0234375	-4387.98193359375	223.48522128115823	-4167.9091796875	-4759.75390625	-4434.00361328125	401.28283875449665	-3851.73486328125	-5038.30029296875	-4151.890869140625	108.1751914080625	-4052.84033203125	-4327.4375	-3997.637744140625	178.45053792646888	-3774.696533203125	-4287.6611328125	-4294.16689453125	379.5356789655707	-3697.85205078125	-4861.0126953125	2000	12000	183.66283600330354	-0.006887550675310194	0.0006269458681344986	367.39659547805786	2.886229906231165
104.58027601242065	6	-4306.921044921875	541.9098049997965	-3334.035400390625	-6005.27734375	2390.3999999999946	963.6658845938366	10.876499999999975	8.255999999999988	236.0012839732687	236.5947202895377	0.1875	0.16906249999999998	-5318.927734375	432.991256963349	-4694.12109375	-6005.27734375	-4353.809228515625	375.35386817390236	-3915.9013671875	-4937.5947265625	-3981.74306640625	308.224335535549	-3532.4912109375	-4412.61767578125	-4025.51044921875	397.20568873261794	-3334.035400390625	-4436.78466796875	-4233.3857421875	179.91877782954418	-4050.8388671875	-4539.67578125	-3943.36005859375	517.5408964663147	-3371.146240234375	-4816.5986328125	-4357.214501953125	260.6213800210732	-3940.089111328125	-4649.318359375	-4241.417578125	210.5887917054271	-3868.6142578125	-4482.580078125	2000	14000	253.83726584911346	-0.012636629852931947	0.0009893747046589851	507.75675840377806	2.882214967161417	104.58027601242065	6	-4306.921044921875	541.9098049997965	-3334.035400390625	-6005.27734375	2390.3999999999946	963.6658845938366	10.876499999999975	8.255999999999988	236.0012839732687	236.5947202895377	0.1875	0.16906249999999998	-5318.927734375	432.991256963349	-4694.12109375	-6005.27734375	-4353.809228515625	375.35386817390236	-3915.9013671875	-4937.5947265625	-3981.74306640625	308.224335535549	-3532.4912109375	-4412.61767578125	-4025.51044921875	397.20568873261794	-3334.035400390625	-4436.78466796875	-4233.3857421875	179.91877782954418	-4050.8388671875	-4539.67578125	-3943.36005859375	517.5408964663147	-3371.146240234375	-4816.5986328125	-4357.214501953125	260.6213800210732	-3940.089111328125	-4649.318359375	-4241.417578125	210.5887917054271	-3868.6142578125	-4482.580078125	2000	14000	253.83726584911346	-0.012636629852931947	0.0009893747046589851	507.75675840377806	2.882214967161417
119.84441423416138	7	-4315.374328613281	458.2151130768347	-3492.9052734375	-5482.2958984375	2240.799999999997	929.2332973544615	10.078499999999977	8.283374999999989	215.55343162185028	247.98777074097967	0.24299999999999997	0.170875	-5193.06708984375	204.25495745003994	-4844.15771484375	-5482.2958984375	-4066.3263671875	335.6255070870545	-3492.9052734375	-4494.251953125	-4306.812744140625	373.37416873624795	-3718.792236328125	-4851.541015625	-3893.09853515625	166.81968783436233	-3623.674072265625	-4150.494140625	-4131.865185546875	236.58048670381595	-3803.015869140625	-4455.8447265625	-4487.4806640625	372.3783731079991	-3792.4873046875	-4883.95703125	-4078.23720703125	139.32535411877672	-3877.675048828125	-4277.607421875	-4366.1068359375	105.71624090813712	-4220.56201171875	-4522.31591796875	2000	16000	300.1676184654236	-0.01421821874100715	0.004778030212037265	600.4203618049621	2.874783307313919	119.84441423416138	7	-4315.374328613281	458.2151130768347	-3492.9052734375	-5482.2958984375	2240.799999999997	929.2332973544615	10.078499999999977	8.283374999999989	215.55343162185028	247.98777074097967	0.24299999999999997	0.170875	-5193.06708984375	204.25495745003994	-4844.15771484375	-5482.2958984375	-4066.3263671875	335.6255070870545	-3492.9052734375	-4494.251953125	-4306.812744140625	373.37416873624795	-3718.792236328125	-4851.541015625	-3893.09853515625	166.81968783436233	-3623.674072265625	-4150.494140625	-4131.865185546875	236.58048670381595	-3803.015869140625	-4455.8447265625	-4487.4806640625	372.3783731079991	-3792.4873046875	-4883.95703125	-4078.23720703125	139.32535411877672	-3877.675048828125	-4277.607421875	-4366.1068359375	105.71624090813712	-4220.56201171875	-4522.31591796875	2000	16000	300.1676184654236	-0.01421821874100715	0.004778030212037265	600.4203618049621	2.874783307313919
134.85519528388977	8	-4164.2965087890625	457.70502263562514	-3414.85791015625	-5023.40771484375	2626.399999999992	903.9775962077925	11.20349999999997	8.735874999999988	344.21831048695776	292.0401231376619	0.20799999999999996	0.172375	-4605.42138671875	435.1749134857386	-3858.31884765625	-5023.40771484375	-4543.67138671875	216.77558776270737	-4216.1279296875	-4862.306640625	-3814.1857421875	241.95203757487414	-3414.85791015625	-4136.56201171875	-4263.754248046875	510.07316975692663	-3652.857666015625	-4965.9609375	-3900.094189453125	332.77736521201246	-3518.03076171875	-4338.7763671875	-4081.485986328125	245.26405740621294	-3676.32568359375	-4370.6650390625	-3857.214599609375	293.44426387413546	-3541.55615234375	-4384.0791015625	-4248.54453125	463.4854069071289	-3454.67919921875	-4735.720703125	2000	18000	411.92710041999817	-0.029343588498886675	0.015543581219390035	823.9686257362366	2.832090575248003	134.85519528388977	8	-4164.2965087890625	457.70502263562514	-3414.85791015625	-5023.40771484375	2626.399999999992	903.9775962077925	11.20349999999997	8.735874999999988	344.21831048695776	292.0401231376619	0.20799999999999996	0.172375	-4605.42138671875	435.1749134857386	-3858.31884765625	-5023.40771484375	-4543.67138671875	216.77558776270737	-4216.1279296875	-4862.306640625	-3814.1857421875	241.95203757487414	-3414.85791015625	-4136.56201171875	-4263.754248046875	510.07316975692663	-3652.857666015625	-4965.9609375	-3900.094189453125	332.77736521201246	-3518.03076171875	-4338.7763671875	-4081.485986328125	245.26405740621294	-3676.32568359375	-4370.6650390625	-3857.214599609375	293.44426387413546	-3541.55615234375	-4384.0791015625	-4248.54453125	463.4854069071289	-3454.67919921875	-4735.720703125	2000	18000	411.92710041999817	-0.029343588498886675	0.015543581219390035	823.9686257362366	2.832090575248003
150.3114457130432	9	-4134.123419189453	521.6248317566316	-2166.404052734375	-5265.283203125	3124.5999999999913	889.954820740994	12.223499999999973	8.615374999999986	219.11286160510926	235.38426604299167	0.22749999999999998	0.17825	-3995.039111328125	1058.0311382452214	-2166.404052734375	-5265.283203125	-4007.72412109375	177.84248522065928	-3806.9599609375	-4243.0791015625	-3972.26953125	314.13191798930296	-3464.323486328125	-4273.66064453125	-4405.597998046875	351.70850090076794	-3790.561767578125	-4791.7265625	-4179.246240234375	398.861909498258	-3810.665771484375	-4726.724609375	-4313.20361328125	386.9273106099275	-3870.7373046875	-4984.3681640625	-4051.809130859375	378.9558878450779	-3416.376708984375	-4592.5634765625	-4148.097607421875	417.85159884631133	-3545.43408203125	-4525.4208984375	2000	20000	524.2802540779114	-0.0666262567276135	0.057116170530207455	1048.7459958076477	2.659804943948984	150.3114457130432	9	-4134.123419189453	521.6248317566316	-2166.404052734375	-5265.283203125	3124.5999999999913	889.954820740994	12.223499999999973	8.615374999999986	219.11286160510926	235.38426604299167	0.22749999999999998	0.17825	-3995.039111328125	1058.0311382452214	-2166.404052734375	-5265.283203125	-4007.72412109375	177.84248522065928	-3806.9599609375	-4243.0791015625	-3972.26953125	314.13191798930296	-3464.323486328125	-4273.66064453125	-4405.597998046875	351.70850090076794	-3790.561767578125	-4791.7265625	-4179.246240234375	398.861909498258	-3810.665771484375	-4726.724609375	-4313.20361328125	386.9273106099275	-3870.7373046875	-4984.3681640625	-4051.809130859375	378.9558878450779	-3416.376708984375	-4592.5634765625	-4148.097607421875	417.85159884631133	-3545.43408203125	-4525.4208984375	2000	20000	524.2802540779114	-0.0666262567276135	0.057116170530207455	1048.7459958076477	2.659804943948984
