Time	Iteration	Average Reward	StdReward	MaxReward	MinReward	r_comm1	r_rad1	Throughput1	Average Throughput	SINR1	SINR_av	Num Transmits 1	Average Num Transmits	Reward1	StdReward1	MaxReward1	MinReward1	Reward2	StdReward2	MaxReward2	MinReward2	Reward3	StdReward3	MaxReward3	MinReward3	Reward4	StdReward4	MaxReward4	MinReward4	Reward5	StdReward5	MaxReward5	MinReward5	Reward6	StdReward6	MaxReward6	MinReward6	Reward7	StdReward7	MaxReward7	MinReward7	Reward8	StdReward8	MaxReward8	MinReward8	TimestepsThisBatch	TimestepsSoFar	Loss 1	Policy Gradient Loss 1	KL Divergence 1	Value Loss 1	Entropy Loss 1
13.034212589263916	0	-4237.635583496094	609.5062579269119	-3252.093017578125	-6294.5869140625	2438.199999999998	978.7260264192828	10.91699999999999	8.699437499999991	212.55316412520565	238.66523275810314	0.134	0.159875	-5391.60908203125	534.3550155336086	-4626.91259765625	-6294.5869140625	-3997.289453125	267.35259173709943	-3576.54833984375	-4337.77880859375	-4242.02578125	262.5053102870597	-3896.736328125	-4658.0205078125	-4071.94423828125	605.2734427337322	-3326.6962890625	-4781.138671875	-4225.7021484375	501.0434262458956	-3608.09716796875	-4900.84375	-3858.065966796875	419.5559279112041	-3252.093017578125	-4316.3076171875	-4101.174267578125	235.97052067006052	-3851.32666015625	-4457.0244140625	-4013.27373046875	258.61584245516883	-3604.145263671875	-4386.44140625	2000	2000	214.5301152229309	-0.01036598847422283	0.0005841852398589253	429.1387012958527	2.8868447616696358
29.062767505645752	1	-4360.7437194824215	576.0325353834937	-3540.973388671875	-6033.896484375	2191.7999999999984	970.9059519496388	9.608499999999989	8.263499999999988	228.86662649273438	238.4436505789334	0.16799999999999998	0.1581875	-5575.44833984375	372.9397832603876	-5108.68994140625	-6033.896484375	-4210.491455078125	398.4438031369564	-3560.444580078125	-4769.49560546875	-4254.071923828125	298.0030133101266	-3824.5146484375	-4609.787109375	-4340.6125	207.40918490249734	-3951.267578125	-4506.1416015625	-4419.32548828125	160.04792881429603	-4151.1953125	-4652.068359375	-4270.869140625	262.26895705087344	-3913.082275390625	-4600.142578125	-3870.66064453125	301.5440422887277	-3565.966552734375	-4255.787109375	-3944.470263671875	323.5294701476114	-3540.973388671875	-4456.3818359375	2000	4000	193.38593888282776	-0.0036081114085391164	0.0006441689329221845	386.83671164512634	2.88650119304657
44.40845775604248	2	-4315.905975341797	564.5138107353725	-3318.095458984375	-6231.8115234375	2009.999999999996	922.7173821362674	9.222499999999979	8.310874999999987	207.37457644314563	236.23364464472078	0.151	0.1723125	-5371.73974609375	604.0828028088713	-4483.78271484375	-6231.8115234375	-4194.864794921875	291.0304945035058	-3838.96826171875	-4610.36279296875	-4132.41083984375	270.15980040928906	-3666.55078125	-4488.4267578125	-4068.291162109375	325.2623219288244	-3640.49267578125	-4566.787109375	-4366.94140625	149.1220258648013	-4161.498046875	-4582.55859375	-4245.5373046875	370.8700919727318	-3854.315673828125	-4706.36669921875	-4068.98828125	413.6927170880528	-3465.2021484375	-4651.2509765625	-4078.474267578125	490.6815537270264	-3318.095458984375	-4805.84326171875	2000	6000	182.1140478849411	-0.011257370503153652	9.061337914317846e-05	364.3081051826477	2.886046089231968
59.4867262840271	3	-4416.660845947265	536.3497892830554	-3478.396484375	-6184.876953125	1951.9999999999977	935.6542929017226	8.24549999999999	7.9293749999999905	218.12224872135798	230.92932200760652	0.1905	0.1598125	-5533.23505859375	488.52607842569336	-4951.6884765625	-6184.876953125	-4202.21142578125	371.6476329690111	-3478.396484375	-4505.833984375	-4260.27626953125	296.2525379687294	-3905.548583984375	-4662.4462890625	-4121.20087890625	339.3277599430733	-3549.0263671875	-4511.0849609375	-4328.844140625	234.8798827709635	-3986.08837890625	-4706.1806640625	-4382.051171875	243.9292771207515	-4123.4560546875	-4817.06982421875	-4370.353759765625	239.44030806503702	-3937.210205078125	-4582.5986328125	-4135.1140625	234.2577147278269	-3721.955078125	-4354.8447265625	2000	8000	179.70203957557678	-0.006619706825586036	0.0001173665514215827	359.47469172477724	2.8855571575462817
74.58442759513855	4	-4223.96821899414	485.0088413358738	-3137.677490234375	-5441.2109375	2647.199999999998	929.1085724709653	10.74999999999999	8.310437499999992	224.45912385973642	235.98685030014013	0.186	0.18550000000000003	-4785.66923828125	578.1191180274607	-4014.99462890625	-5441.2109375	-4216.12646484375	308.30247526715635	-3649.20458984375	-4542.65673828125	-4069.97392578125	175.11477815517333	-3822.26318359375	-4350.072265625	-4023.42021484375	245.05242182011244	-3590.2626953125	-4315.67822265625	-4285.89892578125	550.47231060426	-3713.49853515625	-5336.912109375	-4066.07236328125	497.63003458411316	-3137.677490234375	-4594.13916015625	-4338.240625	512.7322288665565	-3491.6259765625	-4972.9033203125	-4006.343994140625	282.2101641668001	-3763.556640625	-4539.3046875	2000	10000	202.54872093200683	-0.01316514947102405	0.000129229505546391	405.1810095310211	2.88486460223794
89.7841956615448	5	-4299.43916015625	566.6678367486641	-3521.274169921875	-6472.185546875	2095.3999999999974	948.872535661194	9.671999999999993	8.48606249999999	231.54964576074522	248.65867691573717	0.1935	0.1741875	-5495.58115234375	630.2382941121998	-4650.853515625	-6472.185546875	-4381.185400390625	327.34165341562465	-3826.142333984375	-4853.9091796875	-4031.256689453125	168.33211234627493	-3760.514404296875	-4217.3232421875	-4218.730712890625	222.440925560406	-3821.390380859375	-4412.37060546875	-4037.47255859375	200.54333619901809	-3727.787109375	-4278.4326171875	-3984.637841796875	313.13582818302746	-3521.274169921875	-4320.568359375	-4257.36201171875	214.95978949554254	-4009.142578125	-4657.66796875	-3989.2869140625	143.82803012042046	-3773.85205078125	-4169.4912109375	2000	12000	215.5781011581421	-0.009465836838353425	0.000711223459802568	431.23222703933715	2.883490637689829
105.15904188156128	6	-4339.33955078125	405.00970449159763	-3612.85693359375	-5830.8359375	2440.799999999998	920.6745316459961	11.144999999999987	7.933312499999991	276.28236798074846	232.43060019945477	0.21750000000000003	0.17325000000000004	-4924.596875	521.304015598842	-4309.0556640625	-5830.8359375	-4204.09873046875	280.9634307032636	-3806.375	-4526.5986328125	-4189.99814453125	245.9437364736886	-3834.72314453125	-4484.1416015625	-4337.9158203125	365.48744405499906	-4101.7275390625	-5060.54296875	-4223.112646484375	221.39141398942766	-3967.1328125	-4584.908203125	-4527.34775390625	145.1467188149893	-4333.314453125	-4677.783203125	-4119.2080078125	289.34595252275204	-3612.85693359375	-4408.50390625	-4188.438427734375	332.3950023257775	-3722.861083984375	-4747.37353515625	2000	14000	275.5300437927246	-0.0034625675179995596	-0.0005626528291031718	551.1239621162415	2.882270884513855
120.38543176651001	7	-4099.780895996094	397.8157698072583	-3071.275634765625	-4872.9453125	2872.799999999997	902.7586985651176	11.914499999999984	8.779312499999993	236.06682326868213	247.2520390262176	0.20800000000000002	0.1766875	-4349.270068359375	350.67238432174605	-3808.064208984375	-4872.9453125	-3984.30400390625	330.1544993377502	-3606.2626953125	-4437.9658203125	-4109.09580078125	300.66679136479746	-3608.850341796875	-4486.255859375	-3843.506396484375	517.4873252182248	-3071.275634765625	-4491.8515625	-4244.751904296875	317.43256901440674	-3921.916015625	-4799.14306640625	-4254.111669921875	262.9182779353463	-3864.134521484375	-4579.951171875	-3811.705029296875	287.5874578799823	-3437.037353515625	-4289.72900390625	-4201.502294921875	379.18814584415804	-3746.2607421875	-4842.66259765625	2000	16000	354.3517607450485	-0.013759995542932302	0.0015292259631678462	708.7877648353576	2.87640328630805
135.44967317581177	8	-4210.425994873047	406.71812678454285	-3295.8603515625	-5427.1064453125	2686.199999999995	905.8389154140343	11.80449999999998	8.47287499999999	227.03317774187448	231.42701252606867	0.16550000000000004	0.178	-4560.511962890625	691.773647044929	-3359.093505859375	-5427.1064453125	-4268.087890625	117.33302291947362	-4098.26513671875	-4411.068359375	-4152.750830078125	118.5496133318966	-3954.428955078125	-4311.60546875	-4235.30498046875	250.8734232632688	-3831.785400390625	-4444.90869140625	-3993.558447265625	399.67608365071686	-3295.8603515625	-4502.03076171875	-4120.9578125	412.37832914011705	-3310.43359375	-4469.07080078125	-4280.8884765625	188.96600126184768	-4077.38232421875	-4549.08984375	-4071.34755859375	423.5191113492863	-3490.3896484375	-4672.90234375	2000	18000	459.92813901901246	-0.029414132266538218	0.023542140319477767	919.9711051940918	2.845486009120941
150.62518858909607	9	-4252.224981689453	330.78132958240474	-3351.375244140625	-4797.025390625	3326.9999999999927	902.1953075669473	13.944499999999962	8.387874999999989	245.49620882223567	229.92751717086054	0.1985	0.177	-3890.56298828125	444.1457337324486	-3351.375244140625	-4536.2119140625	-4155.34990234375	211.87901827270184	-3957.075439453125	-4446.013671875	-4477.4984375	193.02238959943685	-4232.625	-4745.2587890625	-4180.7685546875	191.11650722413623	-3906.08740234375	-4428.0146484375	-4163.0509765625	324.5188247477511	-3605.0732421875	-4597.2978515625	-4262.327490234375	179.7086996153063	-4093.247802734375	-4589.4931640625	-4527.31044921875	187.20414565429397	-4226.09326171875	-4797.025390625	-4360.9310546875	308.47122422249464	-3832.388671875	-4780.3759765625	2000	20000	557.9666197776794	-0.0633638557366794	0.04525973979616538	1116.1139932632445	2.7508708156645296
