Time	Iteration	Average Reward	StdReward	MaxReward	MinReward	r_comm1	r_rad1	Throughput1	Average Throughput	SINR1	SINR_av	Num Transmits 1	Average Num Transmits	Reward1	StdReward1	MaxReward1	MinReward1	Reward2	StdReward2	MaxReward2	MinReward2	Reward3	StdReward3	MaxReward3	MinReward3	Reward4	StdReward4	MaxReward4	MinReward4	Reward5	StdReward5	MaxReward5	MinReward5	Reward6	StdReward6	MaxReward6	MinReward6	Reward7	StdReward7	MaxReward7	MinReward7	Reward8	StdReward8	MaxReward8	MinReward8	TimestepsThisBatch	TimestepsSoFar	Loss 1	Policy Gradient Loss 1	Clip Fraction 1	KL Divergence 1	Value Loss 1	Entropy Loss 1	Time	Iteration	Average Reward	StdReward	MaxReward	MinReward	r_comm1	r_rad1	Throughput1	Average Throughput	SINR1	SINR_av	Num Transmits 1	Average Num Transmits	Reward1	StdReward1	MaxReward1	MinReward1	Reward2	StdReward2	MaxReward2	MinReward2	Reward3	StdReward3	MaxReward3	MinReward3	Reward4	StdReward4	MaxReward4	MinReward4	Reward5	StdReward5	MaxReward5	MinReward5	Reward6	StdReward6	MaxReward6	MinReward6	Reward7	StdReward7	MaxReward7	MinReward7	Reward8	StdReward8	MaxReward8	MinReward8	TimestepsThisBatch	TimestepsSoFar	Loss 1	Policy Gradient Loss 1	Clip Fraction 1	KL Divergence 1	Value Loss 1	Entropy Loss 1
15.272498607635498	0	-4326.980194091797	494.00315535786245	-3574.089111328125	-5529.3623046875	2179.5999999999985	924.0277724310936	10.039999999999988	8.13756249999999	238.76094576431865	232.50203735304066	0.267	0.1660625	-5212.62294921875	244.49029104704218	-4823.43701171875	-5529.3623046875	-4377.69873046875	347.0693100975043	-3931.368896484375	-4722.48779296875	-3962.973046875	236.0721898338457	-3728.265869140625	-4339.7392578125	-4280.71669921875	314.7961741325842	-3853.6083984375	-4717.3720703125	-4071.466796875	373.9201822800882	-3779.024169921875	-4781.5966796875	-4123.51396484375	220.4247192654353	-3885.668212890625	-4541.537109375	-4273.7296875	503.28776639686345	-3577.139404296875	-4933.1923828125	-4313.119677734375	379.8175606301292	-3574.089111328125	-4596.138671875	2000	2000	192.12009501457214	-0.004367288983485196	0.0	0.0007091875886544585	384.306663274765	2.887040651589632	15.272498607635498	0	-4326.980194091797	494.00315535786245	-3574.089111328125	-5529.3623046875	2179.5999999999985	924.0277724310936	10.039999999999988	8.13756249999999	238.76094576431865	232.50203735304066	0.267	0.1660625	-5212.62294921875	244.49029104704218	-4823.43701171875	-5529.3623046875	-4377.69873046875	347.0693100975043	-3931.368896484375	-4722.48779296875	-3962.973046875	236.0721898338457	-3728.265869140625	-4339.7392578125	-4280.71669921875	314.7961741325842	-3853.6083984375	-4717.3720703125	-4071.466796875	373.9201822800882	-3779.024169921875	-4781.5966796875	-4123.51396484375	220.4247192654353	-3885.668212890625	-4541.537109375	-4273.7296875	503.28776639686345	-3577.139404296875	-4933.1923828125	-4313.119677734375	379.8175606301292	-3574.089111328125	-4596.138671875	2000	2000	192.12009501457214	-0.004367288983485196	0.0	0.0007091875886544585	384.306663274765	2.887040651589632
32.00863790512085	1	-4309.975189208984	540.9335894006757	-3243.28076171875	-6047.865234375	1950.9999999999989	915.5473102778884	9.347999999999994	8.06574999999999	239.9497680982774	238.82568094272273	0.2165	0.16224999999999998	-5373.37919921875	512.5764480837913	-4757.0029296875	-6047.865234375	-4207.698974609375	253.01122379031057	-3896.51025390625	-4589.61181640625	-3911.12548828125	210.1457099525105	-3576.9599609375	-4106.95751953125	-4185.616650390625	220.47057989443303	-3878.47314453125	-4509.6005859375	-4029.882373046875	316.21309587175415	-3687.604248046875	-4591.08984375	-4249.28095703125	337.06455427836465	-3804.721435546875	-4793.076171875	-4402.45673828125	178.71530902152043	-4105.13720703125	-4642.0791015625	-4120.3611328125	483.0489123559909	-3243.28076171875	-4597.1474609375	2000	4000	175.72448184490204	0.00016828864172566683	0.0	0.00034911336842924356	351.5062423706055	2.8862697280943395	32.00863790512085	1	-4309.975189208984	540.9335894006757	-3243.28076171875	-6047.865234375	1950.9999999999989	915.5473102778884	9.347999999999994	8.06574999999999	239.9497680982774	238.82568094272273	0.2165	0.16224999999999998	-5373.37919921875	512.5764480837913	-4757.0029296875	-6047.865234375	-4207.698974609375	253.01122379031057	-3896.51025390625	-4589.61181640625	-3911.12548828125	210.1457099525105	-3576.9599609375	-4106.95751953125	-4185.616650390625	220.47057989443303	-3878.47314453125	-4509.6005859375	-4029.882373046875	316.21309587175415	-3687.604248046875	-4591.08984375	-4249.28095703125	337.06455427836465	-3804.721435546875	-4793.076171875	-4402.45673828125	178.71530902152043	-4105.13720703125	-4642.0791015625	-4120.3611328125	483.0489123559909	-3243.28076171875	-4597.1474609375	2000	4000	175.72448184490204	0.00016828864172566683	0.0	0.00034911336842924356	351.5062423706055	2.8862697280943395
49.31640005111694	2	-4318.8739562988285	555.6562078995171	-3154.02490234375	-6059.4453125	2165.5999999999967	919.7813103111137	10.216999999999981	8.22224999999999	240.85277311126134	242.16478029587375	0.219	0.17225000000000001	-5192.651171875	455.9574926956897	-4810.484375	-6059.4453125	-4316.42353515625	188.73404686275936	-4085.9599609375	-4564.20947265625	-4174.022265625	663.754286479191	-3154.02490234375	-4927.4306640625	-4131.179541015625	234.65062642923232	-3751.1435546875	-4457.1416015625	-4144.0775390625	522.3423471898017	-3443.85693359375	-4919.4287109375	-4106.517333984375	214.90181726507862	-3936.4912109375	-4513.84033203125	-4475.40576171875	217.08023623633758	-4083.72998046875	-4679.3310546875	-4010.714501953125	591.5374609058852	-3275.968994140625	-4750.48388671875	2000	6000	173.94859132766723	-0.0017375234558130615	0.0	-0.0007840500911697745	347.95813140869143	2.885123523324728	49.31640005111694	2	-4318.8739562988285	555.6562078995171	-3154.02490234375	-6059.4453125	2165.5999999999967	919.7813103111137	10.216999999999981	8.22224999999999	240.85277311126134	242.16478029587375	0.219	0.17225000000000001	-5192.651171875	455.9574926956897	-4810.484375	-6059.4453125	-4316.42353515625	188.73404686275936	-4085.9599609375	-4564.20947265625	-4174.022265625	663.754286479191	-3154.02490234375	-4927.4306640625	-4131.179541015625	234.65062642923232	-3751.1435546875	-4457.1416015625	-4144.0775390625	522.3423471898017	-3443.85693359375	-4919.4287109375	-4106.517333984375	214.90181726507862	-3936.4912109375	-4513.84033203125	-4475.40576171875	217.08023623633758	-4083.72998046875	-4679.3310546875	-4010.714501953125	591.5374609058852	-3275.968994140625	-4750.48388671875	2000	6000	173.94859132766723	-0.0017375234558130615	0.0	-0.0007840500911697745	347.95813140869143	2.885123523324728
66.22818851470947	3	-4302.321594238281	563.0503536493817	-3390.80859375	-5600.552734375	1933.1999999999964	914.1246571863197	9.197499999999984	8.251937499999988	216.9922959854911	225.9675314455697	0.17099999999999999	0.17268750000000002	-5379.798046875	243.21741298852587	-5075.8359375	-5600.552734375	-3986.58564453125	283.05908904769075	-3712.210205078125	-4393.017578125	-4294.44794921875	497.33953307771213	-3611.736328125	-4939.0234375	-3933.368603515625	390.0472255327425	-3629.85107421875	-4643.0830078125	-4235.233203125	474.4004657560693	-3572.561767578125	-4803.6728515625	-4379.519287109375	353.1965356770289	-3926.075439453125	-4987.01220703125	-4243.8576171875	191.58692237825167	-3931.2607421875	-4475.3095703125	-3965.76240234375	294.8769122618556	-3390.80859375	-4229.6298828125	2000	8000	166.98019104003907	-0.004923624188813846	0.0	-6.748037412762642e-05	334.02754497528076	2.883058438450098	66.22818851470947	3	-4302.321594238281	563.0503536493817	-3390.80859375	-5600.552734375	1933.1999999999964	914.1246571863197	9.197499999999984	8.251937499999988	216.9922959854911	225.9675314455697	0.17099999999999999	0.17268750000000002	-5379.798046875	243.21741298852587	-5075.8359375	-5600.552734375	-3986.58564453125	283.05908904769075	-3712.210205078125	-4393.017578125	-4294.44794921875	497.33953307771213	-3611.736328125	-4939.0234375	-3933.368603515625	390.0472255327425	-3629.85107421875	-4643.0830078125	-4235.233203125	474.4004657560693	-3572.561767578125	-4803.6728515625	-4379.519287109375	353.1965356770289	-3926.075439453125	-4987.01220703125	-4243.8576171875	191.58692237825167	-3931.2607421875	-4475.3095703125	-3965.76240234375	294.8769122618556	-3390.80859375	-4229.6298828125	2000	8000	166.98019104003907	-0.004923624188813846	0.0	-6.748037412762642e-05	334.02754497528076	2.883058438450098
83.58125829696655	4	-4375.395489501953	466.1995289457809	-3581.1396484375	-5771.591796875	2516.799999999996	939.6720753993001	11.09849999999998	8.232312499999988	232.57160960545212	227.43474380369994	0.17900000000000002	0.1745625	-5000.57734375	431.3886772873212	-4644.23486328125	-5771.591796875	-4445.8169921875	455.073999136277	-3675.9599609375	-5041.36669921875	-4252.97802734375	462.5237768033021	-3581.1396484375	-4818.3818359375	-4289.42431640625	450.37878623491054	-3660.615234375	-5040.248046875	-4527.32568359375	337.61131947103485	-4045.85205078125	-4969.0654296875	-4099.464453125	293.8513350091722	-3762.435302734375	-4490.8388671875	-4196.30302734375	333.2445987356494	-3883.216064453125	-4765.490234375	-4191.274072265625	184.42358650549065	-3978.453125	-4477.017578125	2000	10000	192.46030230522155	-0.002340324121178128	0.0	0.0004331765230745077	384.9824077606201	2.8791434042155744	83.58125829696655	4	-4375.395489501953	466.1995289457809	-3581.1396484375	-5771.591796875	2516.799999999996	939.6720753993001	11.09849999999998	8.232312499999988	232.57160960545212	227.43474380369994	0.17900000000000002	0.1745625	-5000.57734375	431.3886772873212	-4644.23486328125	-5771.591796875	-4445.8169921875	455.073999136277	-3675.9599609375	-5041.36669921875	-4252.97802734375	462.5237768033021	-3581.1396484375	-4818.3818359375	-4289.42431640625	450.37878623491054	-3660.615234375	-5040.248046875	-4527.32568359375	337.61131947103485	-4045.85205078125	-4969.0654296875	-4099.464453125	293.8513350091722	-3762.435302734375	-4490.8388671875	-4196.30302734375	333.2445987356494	-3883.216064453125	-4765.490234375	-4191.274072265625	184.42358650549065	-3978.453125	-4477.017578125	2000	10000	192.46030230522155	-0.002340324121178128	0.0	0.0004331765230745077	384.9824077606201	2.8791434042155744
100.55485367774963	5	-4328.196728515625	469.7009501256462	-3362.489501953125	-5418.71630859375	2437.3999999999974	930.3406592105315	11.28249999999999	8.11343749999999	226.65262497593017	235.50419970193457	0.177	0.1675625	-5005.32587890625	288.63990249549147	-4562.6142578125	-5418.71630859375	-4505.52041015625	320.5075615900502	-4233.384765625	-5106.54296875	-4559.154052734375	524.3601428007971	-3589.145263671875	-5103.7333984375	-3938.9712890625	155.63489732351533	-3743.55615234375	-4209.564453125	-4102.940869140625	417.36772043999184	-3362.489501953125	-4494.787109375	-4162.375146484375	302.94909959962433	-3800.4287109375	-4609.90869140625	-4128.509912109375	217.47505613715052	-3774.197021484375	-4381.50146484375	-4222.77626953125	377.43611192890495	-3721.20361328125	-4842.72900390625	2000	12000	193.6976189851761	-0.0009821335261221975	0.0	0.0022734514204785228	387.4540633678436	2.8716598890721796	100.55485367774963	5	-4328.196728515625	469.7009501256462	-3362.489501953125	-5418.71630859375	2437.3999999999974	930.3406592105315	11.28249999999999	8.11343749999999	226.65262497593017	235.50419970193457	0.177	0.1675625	-5005.32587890625	288.63990249549147	-4562.6142578125	-5418.71630859375	-4505.52041015625	320.5075615900502	-4233.384765625	-5106.54296875	-4559.154052734375	524.3601428007971	-3589.145263671875	-5103.7333984375	-3938.9712890625	155.63489732351533	-3743.55615234375	-4209.564453125	-4102.940869140625	417.36772043999184	-3362.489501953125	-4494.787109375	-4162.375146484375	302.94909959962433	-3800.4287109375	-4609.90869140625	-4128.509912109375	217.47505613715052	-3774.197021484375	-4381.50146484375	-4222.77626953125	377.43611192890495	-3721.20361328125	-4842.72900390625	2000	12000	193.6976189851761	-0.0009821335261221975	0.0	0.0022734514204785228	387.4540633678436	2.8716598890721796
117.60186195373535	6	-4270.926702880859	509.69612809388565	-3306.50439453125	-5563.640625	2754.7999999999934	953.802959633922	11.837499999999974	8.375687499999987	234.20766147495146	234.5596365668692	0.2085	0.1735625	-4875.62421875	645.1633520862363	-3818.1083984375	-5563.640625	-4160.0875	464.2344900675561	-3648.140625	-5004.78076171875	-3983.9599609375	408.0725147944721	-3306.50439453125	-4405.2763671875	-4349.77734375	370.1409019369017	-3733.20361328125	-4848.25390625	-4285.321630859375	470.50664823097736	-3413.617431640625	-4779.955078125	-4017.100537109375	241.03843933952714	-3638.1953125	-4279.27099609375	-4282.106396484375	506.39530082441536	-3941.028076171875	-5290.3056640625	-4213.43603515625	269.3606927108907	-3901.498046875	-4654.43310546875	2000	14000	262.182328414917	-0.005796578861190937	0.026220703125	0.002302115666680038	524.4327246665955	2.8580349937081335	117.60186195373535	6	-4270.926702880859	509.69612809388565	-3306.50439453125	-5563.640625	2754.7999999999934	953.802959633922	11.837499999999974	8.375687499999987	234.20766147495146	234.5596365668692	0.2085	0.1735625	-4875.62421875	645.1633520862363	-3818.1083984375	-5563.640625	-4160.0875	464.2344900675561	-3648.140625	-5004.78076171875	-3983.9599609375	408.0725147944721	-3306.50439453125	-4405.2763671875	-4349.77734375	370.1409019369017	-3733.20361328125	-4848.25390625	-4285.321630859375	470.50664823097736	-3413.617431640625	-4779.955078125	-4017.100537109375	241.03843933952714	-3638.1953125	-4279.27099609375	-4282.106396484375	506.39530082441536	-3941.028076171875	-5290.3056640625	-4213.43603515625	269.3606927108907	-3901.498046875	-4654.43310546875	2000	14000	262.182328414917	-0.005796578861190937	0.026220703125	0.002302115666680038	524.4327246665955	2.8580349937081335
134.74104690551758	7	-4223.667156982422	374.44731715866754	-3520.6953125	-5161.18115234375	2845.7999999999934	950.3818003658595	12.082999999999975	8.66237499999999	249.64060055237798	249.95141608215053	0.202	0.1808125	-4757.255078125	269.82072124642536	-4370.9892578125	-5161.18115234375	-4138.014697265625	291.1372600384259	-3669.4912109375	-4576.1904296875	-4067.497705078125	194.18467011316415	-3765.26513671875	-4364.306640625	-3897.32724609375	280.7032702815813	-3520.6953125	-4281.2734375	-4137.522705078125	317.13202952306455	-3800.497802734375	-4668.357421875	-4003.6849609375	342.90604308800454	-3565.7431640625	-4553.3759765625	-4474.1166015625	162.58794960481262	-4219.24951171875	-4696.84716796875	-4313.91826171875	231.09699460810958	-3982.43408203125	-4637.39453125	2000	16000	301.79732141494753	-0.013000239513348787	0.047900390625	0.005349190614651889	603.6763899803161	2.82694024220109	134.74104690551758	7	-4223.667156982422	374.44731715866754	-3520.6953125	-5161.18115234375	2845.7999999999934	950.3818003658595	12.082999999999975	8.66237499999999	249.64060055237798	249.95141608215053	0.202	0.1808125	-4757.255078125	269.82072124642536	-4370.9892578125	-5161.18115234375	-4138.014697265625	291.1372600384259	-3669.4912109375	-4576.1904296875	-4067.497705078125	194.18467011316415	-3765.26513671875	-4364.306640625	-3897.32724609375	280.7032702815813	-3520.6953125	-4281.2734375	-4137.522705078125	317.13202952306455	-3800.497802734375	-4668.357421875	-4003.6849609375	342.90604308800454	-3565.7431640625	-4553.3759765625	-4474.1166015625	162.58794960481262	-4219.24951171875	-4696.84716796875	-4313.91826171875	231.09699460810958	-3982.43408203125	-4637.39453125	2000	16000	301.79732141494753	-0.013000239513348787	0.047900390625	0.005349190614651889	603.6763899803161	2.82694024220109
151.84535884857178	8	-4118.446429443359	435.91509217707846	-2948.854248046875	-5001.5986328125	3442.3999999999883	954.50976864572	12.91049999999996	8.522437499999986	210.94252524133418	227.39871900552126	0.1565	0.1814375	-4193.678759765625	487.7346240629299	-3475.48828125	-4906.232421875	-4388.68359375	478.24488167294663	-3541.98388671875	-5001.5986328125	-4152.411328125	321.73354210655776	-3662.26123046875	-4586.19189453125	-4314.35400390625	197.60003291151025	-3949.55078125	-4506.787109375	-3952.152880859375	312.3267813094883	-3557.1611328125	-4438.4287109375	-3752.73125	439.58402122295064	-2948.854248046875	-4211.37060546875	-4023.20458984375	392.9584331609131	-3585.39404296875	-4563.6142578125	-4170.355029296875	417.645467945229	-3690.787841796875	-4793.67822265625	2000	18000	424.9641201019287	-0.009720439699594862	0.0751953125	0.004530127334874123	850.0024332046509	2.782142923772335	151.84535884857178	8	-4118.446429443359	435.91509217707846	-2948.854248046875	-5001.5986328125	3442.3999999999883	954.50976864572	12.91049999999996	8.522437499999986	210.94252524133418	227.39871900552126	0.1565	0.1814375	-4193.678759765625	487.7346240629299	-3475.48828125	-4906.232421875	-4388.68359375	478.24488167294663	-3541.98388671875	-5001.5986328125	-4152.411328125	321.73354210655776	-3662.26123046875	-4586.19189453125	-4314.35400390625	197.60003291151025	-3949.55078125	-4506.787109375	-3952.152880859375	312.3267813094883	-3557.1611328125	-4438.4287109375	-3752.73125	439.58402122295064	-2948.854248046875	-4211.37060546875	-4023.20458984375	392.9584331609131	-3585.39404296875	-4563.6142578125	-4170.355029296875	417.645467945229	-3690.787841796875	-4793.67822265625	2000	18000	424.9641201019287	-0.009720439699594862	0.0751953125	0.004530127334874123	850.0024332046509	2.782142923772335
169.0580222606659	9	-4171.923669433594	367.17701501710985	-3398.212646484375	-5161.1865234375	2945.9999999999955	924.954953007458	12.298999999999971	8.492812499999987	231.84214243320358	228.4677855197553	0.20749999999999996	0.17493750000000002	-4453.64033203125	370.2258422666303	-4072.6748046875	-5161.1865234375	-4189.71455078125	354.3167195124696	-3697.78369140625	-4742.49072265625	-4157.56279296875	162.75036265061814	-3986.72314453125	-4456.3720703125	-3975.13779296875	391.4002518664937	-3591.3193359375	-4676.8974609375	-4252.553173828125	442.5040511186796	-3398.212646484375	-4643.71142578125	-3877.330029296875	174.2285755152125	-3673.02490234375	-4174.4482421875	-4135.766943359375	293.57194793274056	-3681.736328125	-4560.1943359375	-4333.683740234375	290.7585668907154	-3914.263427734375	-4612.1982421875	2000	20000	450.6660680294037	-0.006207949199597352	0.040087890625	0.004676008247770369	901.398310470581	2.7370939463377	169.0580222606659	9	-4171.923669433594	367.17701501710985	-3398.212646484375	-5161.1865234375	2945.9999999999955	924.954953007458	12.298999999999971	8.492812499999987	231.84214243320358	228.4677855197553	0.20749999999999996	0.17493750000000002	-4453.64033203125	370.2258422666303	-4072.6748046875	-5161.1865234375	-4189.71455078125	354.3167195124696	-3697.78369140625	-4742.49072265625	-4157.56279296875	162.75036265061814	-3986.72314453125	-4456.3720703125	-3975.13779296875	391.4002518664937	-3591.3193359375	-4676.8974609375	-4252.553173828125	442.5040511186796	-3398.212646484375	-4643.71142578125	-3877.330029296875	174.2285755152125	-3673.02490234375	-4174.4482421875	-4135.766943359375	293.57194793274056	-3681.736328125	-4560.1943359375	-4333.683740234375	290.7585668907154	-3914.263427734375	-4612.1982421875	2000	20000	450.6660680294037	-0.006207949199597352	0.040087890625	0.004676008247770369	901.398310470581	2.7370939463377
