Time	Iteration	Average Reward	StdReward	MaxReward	MinReward	r_comm1	r_rad1	Throughput1	Average Throughput	SINR1	SINR_av	Num Transmits 1	Average Num Transmits	Reward1	StdReward1	MaxReward1	MinReward1	Reward2	StdReward2	MaxReward2	MinReward2	Reward3	StdReward3	MaxReward3	MinReward3	Reward4	StdReward4	MaxReward4	MinReward4	Reward5	StdReward5	MaxReward5	MinReward5	Reward6	StdReward6	MaxReward6	MinReward6	Reward7	StdReward7	MaxReward7	MinReward7	Reward8	StdReward8	MaxReward8	MinReward8	TimestepsThisBatch	TimestepsSoFar	Loss 1	Policy Gradient Loss 1	Clip Fraction 1	KL Divergence 1	Value Loss 1	Entropy Loss 1
14.843840837478638	0	-4439.061029052735	613.375863159083	-3312.2548828125	-5785.14013671875	2068.999999999999	950.6742444423087	9.454999999999988	7.84687499999999	223.11135882377894	216.2798706515842	0.17400000000000002	0.167875	-5536.3947265625	132.92834251854674	-5399.80126953125	-5785.14013671875	-4260.096337890625	406.0099153459955	-3695.613525390625	-4685.49853515625	-4161.331201171875	377.40714343887	-3514.3193359375	-4657.126953125	-4527.322998046875	568.3522151421689	-3704.973388671875	-5371.66259765625	-4183.77177734375	509.64849835491486	-3701.0947265625	-5018.42919921875	-3933.71630859375	492.77497250096894	-3312.2548828125	-4685.0830078125	-4409.88583984375	143.9823883632933	-4160.37548828125	-4573.310546875	-4499.96904296875	438.5943585077569	-4002.85107421875	-5253.6533203125	2000	2000	184.7429207801819	-0.004243078309809789	0.0	-0.0004101300146430731	369.55206594467165	2.8866257265210153
32.021934270858765	1	-4261.657342529297	548.9625832920045	-3271.43359375	-6096.828125	2326.7999999999984	955.3399525366918	10.180499999999988	8.61962499999999	270.5331829168107	261.5908838719359	0.21100000000000002	0.164625	-5315.92041015625	446.7928869382618	-4845.0830078125	-6096.828125	-3859.37626953125	260.81805389442854	-3576.135498046875	-4295.849609375	-4286.897509765625	352.87539158407844	-3773.975830078125	-4839.43310546875	-4338.942236328125	265.95968530745654	-3868.613525390625	-4598.3056640625	-3874.542333984375	390.8272037429087	-3342.51123046875	-4283.3173828125	-4144.89326171875	188.52077642671443	-3881.197265625	-4448.439453125	-4086.5208984375	478.88967936202795	-3271.43359375	-4707.486328125	-4186.1658203125	224.89591273948278	-3913.615234375	-4468.3125	2000	4000	190.33421843051912	0.002268634161009686	0.0	0.00046599656343460083	380.7215010166168	2.8858449660241603
49.59067106246948	2	-4229.3118347167965	512.0720011802222	-3276.3740234375	-5718.2685546875	2397.399999999997	908.2712066661459	10.673999999999984	8.604624999999992	243.12534283734135	242.48545039591835	0.164	0.1759375	-4868.7703125	585.2269267982333	-3932.26904296875	-5718.2685546875	-4335.70185546875	271.6584394597063	-4092.318359375	-4844.13232421875	-4337.57890625	377.89506139922497	-3952.62841796875	-4991.54541015625	-4282.064697265625	594.3204527134782	-3593.056640625	-5034.5986328125	-4065.807958984375	173.44171967973966	-3727.84130859375	-4202.48681640625	-4003.80791015625	267.6176196468385	-3553.0029296875	-4351.79541015625	-3887.465478515625	470.63321345528345	-3276.3740234375	-4486.15234375	-4053.29755859375	449.5315260490283	-3531.67236328125	-4628.7314453125	2000	6000	195.12256610393524	-0.0023355383018497378	0.0	-0.00038734194822609425	390.307265996933	2.8847484290599823
66.6203556060791	3	-4249.432891845703	630.9734935646761	-3334.84375	-6414.6611328125	2292.7999999999993	972.2142652300065	9.59399999999999	8.214749999999992	222.14125571196217	253.6549344281927	0.1925	0.162125	-5484.91484375	497.5068859089233	-4940.0244140625	-6414.6611328125	-4182.28681640625	473.8255125987067	-3334.84375	-4635.8447265625	-4234.15830078125	264.1528051941519	-3768.19189453125	-4517.96435546875	-3841.4494140625	431.26755644508995	-3461.67919921875	-4649.2138671875	-4006.341845703125	279.58450747907875	-3622.14208984375	-4383.9072265625	-4260.528515625	332.68571757339146	-3686.150390625	-4704.5439453125	-4043.443408203125	545.0441175822183	-3579.5087890625	-5068.08349609375	-3942.339990234375	278.8292093938817	-3691.72314453125	-4452.66650390625	2000	8000	194.79321160316468	0.0001298540097195655	0.0	0.0008200735319405794	389.64347553253174	2.88315259963274
85.27382636070251	4	-4212.816497802734	438.63915841766016	-3262.02392578125	-5112.1337890625	2625.799999999997	926.2168449595895	11.683499999999984	8.64056249999999	267.9334343580403	276.69122706786834	0.192	0.1626875	-4783.9353515625	235.59242198929564	-4546.1474609375	-5112.1337890625	-4155.324951171875	340.46948840015267	-3653.90283203125	-4667.435546875	-4240.1634765625	454.4284055896498	-3419.6083984375	-4749.25634765625	-3954.96669921875	424.48761511231334	-3262.02392578125	-4572.9150390625	-3993.2859375	220.25662513918104	-3757.61279296875	-4340.38818359375	-4330.46162109375	326.80632194674814	-4004.36962890625	-4949.185546875	-4160.143994140625	425.98967188345813	-3729.2158203125	-4686.66943359375	-4084.249951171875	407.773924372409	-3608.037353515625	-4773.4931640625	2000	10000	189.36452333927156	-0.007198513770708815	0.0	0.0012330127647146583	378.8006015300751	2.8809288844466208
103.0171730518341	5	-4373.871856689453	659.5931742775008	-3358.551025390625	-6511.72265625	2128.5999999999995	967.2942263295745	9.40949999999999	8.003499999999992	215.2087299926145	234.883608454422	0.14950000000000002	0.16481249999999997	-5609.75458984375	564.4228790400658	-4747.71044921875	-6511.72265625	-3924.5154296875	352.14218152268006	-3358.551025390625	-4391.8427734375	-4091.28671875	286.082677137917	-3789.90283203125	-4591.1455078125	-4513.789697265625	642.6748577627635	-3722.274169921875	-5102.2568359375	-4168.339599609375	163.21798144675756	-3979.7470703125	-4401.0732421875	-4376.09072265625	540.9062565350486	-3649.551025390625	-5079.49560546875	-4148.122705078125	441.48581172410564	-3755.678955078125	-4981.9140625	-4159.075390625	246.61090213382312	-3698.78955078125	-4384.85107421875	2000	12000	212.70186548233033	-0.0014427709160372616	0.0	0.0006772906053811312	425.46358318328856	2.877155316621065
120.02903580665588	6	-4279.416015625	420.7814072799495	-3628.139404296875	-5346.82666015625	2682.599999999994	924.0617316725769	11.188499999999983	8.341937499999988	240.75532026755323	220.23122622028103	0.1895	0.167375	-4709.89443359375	366.321036029337	-4177.3193359375	-5125.97314453125	-4416.74736328125	464.6755779344036	-3758.90283203125	-5145.126953125	-4102.8859375	237.65411915695512	-3752.267578125	-4453.37060546875	-4175.0966796875	210.1323920956318	-3761.47314453125	-4339.2119140625	-4122.115625	302.03432541094435	-3747.322265625	-4653.720703125	-4363.914990234375	535.2041669484773	-3871.620849609375	-5346.82666015625	-3985.168359375	255.38926179797323	-3785.9599609375	-4478.0869140625	-4359.504736328125	389.51007711469157	-3628.139404296875	-4696.20947265625	2000	14000	283.8065672159195	-0.006362305043148808	0.01796875	-0.001173992408439517	567.6825561046601	2.869329646229744
137.54376673698425	7	-4187.080706787109	424.41733409360717	-3414.03173828125	-5145.49365234375	2963.5999999999963	923.4477653172517	12.18299999999998	8.787062499999992	239.58026023920917	239.01474466277932	0.219	0.18025	-4423.9826171875	348.55379713507654	-4073.60986328125	-5051.7685546875	-4253.07578125	346.2429488786037	-3735.9150390625	-4690.42626953125	-4257.135009765625	267.5237598570646	-3949.78955078125	-4693.7939453125	-4179.143896484375	575.9642956098431	-3583.856201171875	-5145.49365234375	-4090.550390625	404.18123410753753	-3414.03173828125	-4540.365234375	-4017.874755859375	249.92952540372923	-3760.7880859375	-4427.42626953125	-3985.118115234375	426.16417556740214	-3484.571044921875	-4639.0146484375	-4289.765087890625	483.9312915761536	-3793.02490234375	-4962.4306640625	2000	16000	362.7781850337982	-0.00505390743346652	0.024951171875	0.007337807852309197	725.6226536750794	2.8486844554543493
155.10493803024292	8	-4234.64541015625	435.8691945115499	-3342.551025390625	-5193.951171875	2792.3999999999955	921.402837812522	12.00349999999998	8.30093749999999	224.8402373156291	233.98857428749935	0.20500000000000002	0.18306250000000002	-4578.82314453125	566.981522448614	-3813.164794921875	-5193.951171875	-4235.24228515625	442.9357747562182	-3833.3076171875	-5037.1953125	-3919.582421875	418.95881021555135	-3569.9287109375	-4721.0693359375	-4376.49189453125	303.6006722865621	-3815.02001953125	-4655.3720703125	-4331.08466796875	308.52184907487936	-4048.7978515625	-4922.1279296875	-4182.18427734375	259.9232615129957	-3730.32568359375	-4416.35986328125	-4336.3775390625	316.11544992063875	-3882.84765625	-4867.724609375	-3917.37705078125	333.04009822566735	-3342.551025390625	-4323.787109375	2000	18000	475.56159071922303	-0.007869758325978183	0.012451171875	0.011122029973194003	951.1944931983948	2.8238113962113855
172.80383825302124	9	-4119.479864501953	399.2945379715486	-2934.980712890625	-4855.306640625	3409.999999999995	945.3474216542263	13.631999999999971	8.786249999999988	261.39449428004156	254.63392788522233	0.225	0.18906249999999997	-4152.7798828125	529.832923470259	-3393.67919921875	-4841.013671875	-4201.529296875	331.7630135564522	-3785.61083984375	-4735.9619140625	-4171.242529296875	300.5126956804504	-3747.92431640625	-4653.318359375	-4150.784326171875	241.79020265951033	-3802.26318359375	-4510.92578125	-3831.922412109375	556.4055599682157	-2934.980712890625	-4453.724609375	-4015.40166015625	159.36119388563029	-3763.03662109375	-4232.49951171875	-4140.7421875	347.70530686490815	-3846.90283203125	-4799.20458984375	-4291.43662109375	380.7936232163142	-3932.13720703125	-4855.306640625	2000	20000	670.4401135921478	-0.012552812552894466	0.039990234375	0.008663618820719421	1340.9595849990844	2.7622436292469503
